unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1652205600,2022-05-10 18:00:00,BTC/USDT,31562.42,31728.07,31475.83,31622.66,1.48870157,47076.703589576195
1652202000,2022-05-10 17:00:00,BTC/USDT,31394.57,31684.72,31279.44,31663.13,0.53777723,17027.7103445299
1652198400,2022-05-10 16:00:00,BTC/USDT,31358.68,31358.68,31045.01,31166.49,0.12631436,3936.7752377964
1652194800,2022-05-10 15:00:00,BTC/USDT,31077.84,31374.28,31022.53,31348.11,0.17468703,5476.1082320133
1652191200,2022-05-10 14:00:00,BTC/USDT,31851.22,32131.85,30924.13,31100.82,1.15023341,35773.2022423962
1652187600,2022-05-10 13:00:00,BTC/USDT,32142.42,32386.63,31457.19,31745.07,4.62109730,146697.05726531098
1652184000,2022-05-10 12:00:00,BTC/USDT,31619.86,32260.41,31570.17,32181.17,0.77132341,24822.0897821897
1652180400,2022-05-10 11:00:00,BTC/USDT,31372.28,31695.99,31372.28,31650.33,1.17082248,37056.9178634184
1652176800,2022-05-10 10:00:00,BTC/USDT,31439.89,31502.99,31330.76,31351.33,0.51318007,16088.8777239931
1652173200,2022-05-10 09:00:00,BTC/USDT,31778.11,31806.69,31345.14,31513.23,0.72963844,22993.2639765612
1652169600,2022-05-10 08:00:00,BTC/USDT,31590.97,31825.61,31581.91,31816.32,0.33446384,10641.4085618688
1652166000,2022-05-10 07:00:00,BTC/USDT,31928.91,31928.91,31913.33,31913.33,0.07531157,2403.4429862281
1652162400,2022-05-10 06:00:00,BTC/USDT,31863.03,32511.17,31863.03,32200.00,1.13755678,36629.328316
1652158800,2022-05-10 05:00:00,BTC/USDT,31418.00,31968.90,31364.58,31968.90,0.61228305,19574.015597145004
1652155200,2022-05-10 04:00:00,BTC/USDT,30742.59,31153.29,30742.59,31153.29,0.03543450,1103.901254505
1652151600,2022-05-10 03:00:00,BTC/USDT,30946.68,30946.69,30703.19,30703.19,0.09184505,2819.9360207094996
1652148000,2022-05-10 02:00:00,BTC/USDT,30774.28,31206.58,30774.28,31068.24,0.26834179,8336.9071337496
1652144400,2022-05-10 01:00:00,BTC/USDT,30735.09,31200.59,30735.09,30974.55,0.58346441,18072.5475407655
1652140800,2022-05-10 00:00:00,BTC/USDT,30000.00,30648.08,29800.00,30648.08,2.05614828,63016.9969773024
1652137200,2022-05-09 23:00:00,BTC/USDT,31077.86,31153.82,30050.00,30050.00,1.23924250,37239.237125
1652133600,2022-05-09 22:00:00,BTC/USDT,30737.76,31298.56,30679.41,31123.46,0.89926174,27988.1367944204
1652130000,2022-05-09 21:00:00,BTC/USDT,30992.52,31471.93,30992.52,31471.93,2.77429153,87312.3088317529
1652126400,2022-05-09 20:00:00,BTC/USDT,30967.09,31846.23,30787.11,30910.26,1.24671169,38536.182482939395
1652122800,2022-05-09 19:00:00,BTC/USDT,30838.04,31006.23,30457.86,31006.23,2.28523167,70856.4187633041
1652119200,2022-05-09 18:00:00,BTC/USDT,31357.86,31393.12,30350.00,30903.09,1.27891686,39522.4828270974
1652115600,2022-05-09 17:00:00,BTC/USDT,31545.00,31845.50,31000.00,31254.55,2.34830343,73395.1669681065
1652112000,2022-05-09 16:00:00,BTC/USDT,32338.46,32560.77,31666.00,31666.00,4.32457128,136941.87415247998
1652108400,2022-05-09 15:00:00,BTC/USDT,32495.66,32603.71,32189.36,32357.29,1.64789041,53321.2678845889
1652104800,2022-05-09 14:00:00,BTC/USDT,32977.56,33009.80,32457.79,32700.00,1.46379875,47866.219125
